rec_time	UTC	Dikablis Professional Wireless  (DGW18125)_Field Data_Scene cam_Original_Gaze_Gaze X	Dikablis Professional Wireless  (DGW18125)_Field Data_Scene cam_Original_Gaze_Gaze Y
00:00:02.885	1644613610377		
00:00:02.894	1644613610386	699.878	658.115
00:00:02.902	1644613610394		
00:00:02.911	1644613610403	697.238	654.769
00:00:02.912	1644613610404		
00:00:02.919	1644613610411		
00:00:02.927	1644613610419	699.491	656.39
00:00:02.935	1644613610427		
00:00:02.944	1644613610436	705.371	657.866
00:00:02.945	1644613610437		
00:00:02.952	1644613610444		
00:00:02.961	1644613610453	703.735	657.699
00:00:02.969	1644613610461		
00:00:02.977	1644613610469	704.587	657.077
00:00:02.978	1644613610470		
00:00:02.985	1644613610477		
00:00:02.994	1644613610486	701.842	657.881
00:00:03.002	1644613610494		
00:00:03.011	1644613610503	703.611	656.914
00:00:03.012	1644613610504		
00:00:03.019	1644613610511		
00:00:03.027	1644613610519	705.849	657.871
00:00:03.035	1644613610527		
00:00:03.044	1644613610536	702.847	654.538
00:00:03.045	1644613610537		
00:00:03.052	1644613610544		
00:00:03.061	1644613610553	704.364	655.322
00:00:03.069	1644613610561		
00:00:03.077	1644613610569	703.386	654.318
00:00:03.078	1644613610570		
00:00:03.085	1644613610577		
00:00:03.094	1644613610586	703.884	654.805
00:00:03.102	1644613610594		
00:00:03.111	1644613610603	704.344	653.471
00:00:03.112	1644613610604		
00:00:03.119	1644613610611		
00:00:03.127	1644613610619	704.605	654.997
00:00:03.135	1644613610627		
00:00:03.144	1644613610636	702.951	653.153
00:00:03.145	1644613610637		
00:00:03.152	1644613610644		
00:00:03.161	1644613610653	702.507	656.184
00:00:03.169	1644613610661		
00:00:03.177	1644613610669	705.55	653.519
00:00:03.178	1644613610670		
00:00:03.185	1644613610677		
00:00:03.194	1644613610686	707.856	656.321
00:00:03.202	1644613610694		
00:00:03.211	1644613610703	703.891	649.723
00:00:03.212	1644613610704		
00:00:03.219	1644613610711		
00:00:03.227	1644613610719	705.255	652.385
00:00:03.235	1644613610727		
00:00:03.244	1644613610736	705.708	654.957
00:00:03.245	1644613610737		
00:00:03.252	1644613610744		
00:00:03.261	1644613610753	703.516	653.336
00:00:03.269	1644613610761		
00:00:03.277	1644613610769	703.947	653.623
00:00:03.278	1644613610770		
00:00:03.285	1644613610777		
00:00:03.294	1644613610786	701.643	653.708
00:00:03.302	1644613610794		
00:00:03.311	1644613610803	706.901	656.211
00:00:03.312	1644613610804		
00:00:03.319	1644613610811		
00:00:03.327	1644613610819	706.01	653.614
00:00:03.335	1644613610827		
00:00:03.344	1644613610836	704.843	655.09
00:00:03.345	1644613610837		
00:00:03.352	1644613610844		
00:00:03.361	1644613610853	708.763	651.792
